document,language,variety,annotator_a,annotator_b,type,span_a_tokens,span_b_tokens,text_a,text_b,discr_type,gold_version
DE-CURRENT/2_Manually-Segmented/blog_bitblokes_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,58:64,58:71,"Das sind die Bundesliga Paarungen ,","Das sind die Bundesliga Paarungen , die uns am 11. Spieltag erwarten :",subordination-relative clause,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_bitblokes_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,64:71,58:71,die uns am 11. Spieltag erwarten :,"Das sind die Bundesliga Paarungen , die uns am 11. Spieltag erwarten :",subordination-relative clause,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_iphoneblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,57:63,57:76,Die Benutzeroberfläche ist im Dunkelmodus dargestellt,"Die Benutzeroberfläche ist im Dunkelmodus dargestellt und zeigt Einstellungen , eine Aufgabenliste sowie das Erstellen einer neuen Erinnerung .",syntax-coordinated clause missed,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_iphoneblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,63:76,57:76,"und zeigt Einstellungen , eine Aufgabenliste sowie das Erstellen einer neuen Erinnerung .","Die Benutzeroberfläche ist im Dunkelmodus dargestellt und zeigt Einstellungen , eine Aufgabenliste sowie das Erstellen einer neuen Erinnerung .",syntax-coordinated clause missed,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_iphoneblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,76:81,76:90,Die App unterstützt natürliche Spracheingabe,Die App unterstützt natürliche Spracheingabe und bietet intelligente Vorschläge für Datum und Uhrzeit .,syntax-coordinated clause missed,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_iphoneblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,81:90,76:90,und bietet intelligente Vorschläge für Datum und Uhrzeit .,Die App unterstützt natürliche Spracheingabe und bietet intelligente Vorschläge für Datum und Uhrzeit .,syntax-coordinated clause missed,annotator_a
DE-CURRENT/2_Manually-Segmented/blog_literaturblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,34:56,34:37,Feuilletons meiden sie und der Weg hinein zwischen zwei eigene Buchdeckel bliebt ihnen oftmals verwehrt : Einzelveröffentlichungen von Kinder- und Jugendgedichten .,Feuilletons meiden sie,syntax-coordinated clause missed,annotator_b
DE-CURRENT/2_Manually-Segmented/blog_literaturblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,34:56,37:56,Feuilletons meiden sie und der Weg hinein zwischen zwei eigene Buchdeckel bliebt ihnen oftmals verwehrt : Einzelveröffentlichungen von Kinder- und Jugendgedichten .,und der Weg hinein zwischen zwei eigene Buchdeckel bliebt ihnen oftmals verwehrt : Einzelveröffentlichungen von Kinder- und Jugendgedichten .,syntax-coordinated clause missed,annotator_b
DE-CURRENT/2_Manually-Segmented/blog_literaturblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,56:67,56:113,"Zugegeben , es gibt Ausnahmen in der Kinderlyrik wie zum Beispiel","Zugegeben , es gibt Ausnahmen in der Kinderlyrik wie zum Beispiel „ Das kleine Ich bin ich “ von Mira Lobe oder „ Der Leuchtturm auf den Hummerklippen “ von James Krüss oder „ Und außerdem sind Borsten schön “ von Nadja Budde . Oder „ Wo bleibt das Meer ? “ von Ted van Lieshout .",style-embedded example,annotator_b
DE-CURRENT/2_Manually-Segmented/blog_literaturblog_1.tagged.tsv,DE,DE_CURRENT,A1,A5,partial_overlap,67:77,56:113,„ Das kleine Ich bin ich “ von Mira Lobe,"Zugegeben , es gibt Ausnahmen in der Kinderlyrik wie zum Beispiel „ Das kleine Ich bin ich “ von Mira Lobe oder „ Der Leuchtturm auf den Hummerklippen “ von James Krüss oder „ Und außerdem sind Borsten schön “ von Nadja Budde . Oder „ Wo bleibt das Meer ? “ von Ted van Lieshout .",style-embedded example,annotator_b
